NI20210071,APTO,8.3,
NI20210072,APTO,8.7,
NI20210073,,,
NI20210074,APTO,6.7,
NI20210075,APTO,8,
NI20210076,,,
NI20210077,APTO,9.7,
NI20210078,APTO,7.6,
NI20210079,APTO,9.3,
NI20210080,APTO,8,
NI20210081,APTO,10,
NI20210082,APTO,9.3,
NI20210083,,,
NI20210084,APTO,6.3,
NI20210085,APTO,9.3,
NI20210086,APTO,9,
NI20210087,APTO,5.3,
NI20210088,APTO,8,
NI20210089,APTO,7.3,SI
NI20210090,,,
NI20210091,APTO,7.7,
NI20210092,APTO,10,SI
NI20210093,APTO,8,
NI20210094,APTO,,
NI20210095,APTO,9,
NI20210096,APTO,8,
NI20210097,APTO,6.7,
NI20210098,APTO,9,
NI20210099,,,
NI20210100,,,
NI20210101,APTO,8,
NI20210102,APTO,8.3,
NI20210103,APTO,8.3,
NI20210104,,,
NI20210105,APTO,7,
NI20210106,APTO,6,
NI20210107,APTO,6.7,
NI20210108,APTO,6.3,
NI20210109,,,
NI20210110,APTO,7.7,SI
NI20210111,APTO,8,
NI20210112,APTO,9,
NI20210113,APTO,9.3,
NI20210114,,,
NI20210115,APTO,8.7,SI
NI20210116,APTO,7.7,
NI20210117,APTO,9,
NI20210118,APTO,8.7,SI
NI20210119,APTO,6.7,SI
NI20210120,APTO,6.7,SI
NI20210121,APTO,7,NO
NI20210122,APTO,9.3,SI
NI20210123,,,
NI20210124,APTO,8.3,SI
NI20210125,APTO,8,SI
NI20210126,,,
NI20210127,APTO,8.3,SI
NI20210128,APTO,8.7,NO
NI20210129,APTO,7.3,NO
NI20210130,,,
NI20210131,APTO,8.3,SI
NI20210132,,,
NI20210133,NO APTO,4.7,NO
NI20210134,APTO,7.3,SI
NI20210135,APTO,6,SI
NI20210136,APTO,8,SI
NI20210137,NO APTO,4.3,SI
NI20210138,,,
NI20210139,APTO,6,SI
NI20210140,APTO,6.7,NO
NI20210141,APTO,5,SI
NI20210142,,,
NI20210143,APTO,7.7,SI
NI20210144,APTO,7.7,NO
NI20210145,APTO,8.3,SI
NI20210146,APTO,7,NO
NI20210147,APTO,6.3,NO
NI20210148,APTO,6.3,SI
NI20210149,APTO,7.7,NO
NI20210150,,,
NI20210151,APTO,5.7,SI
NI20210152,APTO,8.7,SI
NI20210153,APTO,6,SI
NI20210154,APTO,9,NO
NI20210155,APTO,7.7,SI
NI20210156,APTO,7.7,SI
NI20210157,APTO,7,SI
NI20210158,APTO,8,SI
NI20210159,APTO,8,SI
NI20210160,,,
NI20210161,,,
NI20210162,,,
NI20210163,,,
NI20210164,,,
NI20210165,,,
NI20210166,,,
NI20210167,,,
NI20210168,,,
NI20210169,,,
NI20210170,,,
NI20210171,,,
NI20210172,,,
NI20210173,,,
NI20210174,,,
NI20210175,,,
NI20210176,,,
NI20210177,,,
NI20210178,,,
NI20210179,,,
NI20210180,,,
NI20210181,,,
NI20210182,,,
NI20210183,,,
NI20210184,,,
NI20210185,,,
NI20210186,,,
NI20210187,,,
NI20210188,,,
NI20210189,,,
NI20210190,,,
NI20210191,,,
NI20210192,,,
NI20210193,,,
NI20210194,,,
NI20210195,,,
NI20210196,,,
NI20210197,,,
NI20210198,,,
NI20210199,,,
NI20210200,,,
NI20210201,,,
NI20210202,,,
NI20210203,,,
NI20210204,,,
NI20210205,,,
NI20210206,,,
NI20210207,,,
NI20210208,,,
NI20210209,,,
NI20210210,,,
NI20210211,,,
NI20210212,,,
NI20210213,,,
NI20210214,,,
NI20210215,,,
NI20210216,,,
NI20210217,,,
NI20210218,,,
NI20210219,,,
NI20210220,,,
NI20210221,,,
NI20210222,,,
NI20210223,,,
NI20210224,,,
NI20210225,,,
NI20210226,,,
NI20210227,,,
NI20210228,,,
NI20210229,,,
NI20210230,,,
NI20210231,,,
NI20210232,,,
NI20210233,,,
NI20210234,,,
NI20210235,,,
NI20210236,,,
NI20210237,,,
NI20210238,,,
NI20210239,,,
NI20210240,,,
NI20210241,,,
NI20210242,,,
NI20210243,,,
NI20210244,,,
NI20210245,,,
NI20210246,,,
NI20210247,,,
NI20210248,,,
NI20210249,,,
NI20210250,,,
NI20210251,,,
NI20210252,,,
NI20210253,,,
NI20210254,,,
NI20210255,,,
NI20210256,,,
NI20210257,,,
NI20210258,,,
NI20210259,,,
NI20210260,,,
NI20210261,,,
NI20210262,,,
NI20210263,,,
NI20210264,,,
NI20210265,,,
NI20210266,,,
NI20210267,,,
NI20210268,,,
NI20210269,,,
NI20210270,,,
NI20210271,,,
NI20210272,,,
NI20210273,,,
NI20210274,,,
NI20210275,,,
NI20210276,,,
NI20210277,,,
NI20210278,,,
NI20210279,,,
NI20210280,,,
NI20210281,,,
